"block","pen_side","pen_val","pen_x","points","poke_x","poke_y","release_time","targ_val","targ_x","targ_y","time_limit","too_slow","too_soon","trial_time"
"1","left","0","-180","100","-131","-58","909","100","-148","-47","i","0","0","909"
"1","left","0","-43","100","13","101","955","100","-11","117","i","0","0","955"
"1","left","0","-67","100","-7","161","889","100","-35","166","i","0","0","889"
"1","left","0","-132","100","-103","-152","977","100","-100","-152","i","0","0","977"
"1","right","0","-7","100","-43","-8","1020","100","-39","0","i","0","0","1020"
"1","left","0","-106","100","-54","-40","907","100","-74","-37","i","0","0","907"
"1","right","0","35","100","-16","-4","959","100","3","-7","i","0","0","959"
"1","left","0","-58","100","-16","-115","921","100","-26","-110","i","0","0","921"
"1","right","0","-73","100","-115","61","925","100","-105","78","i","0","0","925"
"1","left","0","-75","100","-17","-22","843","100","-43","-37","i","0","0","843"
"1","left","0","20","100","68","-81","885","100","52","-89","i","0","0","885"
"1","left","0","-170","100","-133","16","845","100","-138","23","i","0","0","845"
"1","right","0","-87","100","-133","-38","851","100","-119","-30","i","0","0","851"
"1","right","0","127","100","83","19","839","100","95","42","i","0","0","839"
"1","left","0","-96","100","-53","-19","769","100","-64","-24","i","0","0","769"
"1","right","0","59","100","8","-3","790","100","27","1","i","0","0","790"
"1","left","0","-140","100","-100","-89","828","100","-108","-82","i","0","0","828"
"1","right","0","58","100","10","-80","846","100","26","-75","i","0","0","846"
"1","right","0","-94","100","-130","33","798","100","-126","33","i","0","0","799"
"1","left","0","95","100","131","46","800","100","127","59","i","0","0","800"
"1","right","0","-5","100","-59","-143","767","100","-37","-134","i","0","0","767"
"1","right","0","113","100","82","-64","816","100","81","-48","i","0","0","816"
"1","left","0","-170","100","-133","152","763","100","-138","152","i","0","0","763"
"1","right","0","54","100","0","30","707","100","22","29","i","0","0","707"
"1","right","0","163","100","119","-134","849","100","131","-110","i","0","0","849"
"1","right","0","128","100","71","-79","763","100","96","-69","i","0","0","763"
"1","left","0","-191","100","-146","55","822","100","-159","67","i","0","0","822"
"1","left","0","-131","100","-96","107","745","100","-99","96","i","0","0","745"
"1","right","0","-88","100","-141","1","771","100","-120","18","i","0","0","771"
"1","right","0","-70","100","-129","-162","759","100","-102","-151","i","0","0","759"
"2","right","0","43","100","-9","-95","815","100","11","-85","850","0","0","815"
