"block","pen_x","points","poke_x","poke_y","targ_x","targ_y","time_limit","trial_time"
"1","-149","0","-86","-402","-117","134","i","424"
"1","147","0","-5","-433","115","129","i","572"
"2","79","0","-4","-434","47","-41","850","271"
"2","-176","0","4","-353","-144","-91","850","404"
"3","99","0","17","-204","131","12","850","484"
"3","175","0","221","-47","143","-153","850","693"
"4","-115","0","221","-47","-83","-146","850","111"
"4","-33","-700","191","-75","-65","-114","850","1064"
"5","15","0","191","-118","-17","-76","700","497"
"5","112","0","191","-118","144","65","700","403"
"6","-91","0","191","-118","-59","-109","700","339"
"6","99","0","142","-158","67","-53","700","562"
"7","172","0","135","-234","140","-147","700","450"
"7","-94","0","135","-235","-62","60","700","672"
"8","41","0","72","-221","73","-9","700","623"
"8","-41","100","-86","-156","-73","-128","700","578"
"9","-49","100","-25","-114","-17","-131","700","673"
"9","44","-700","76","50","12","154","700","1098"
"10","79","0","76","188","47","44","700","515"
"10","29","0","155","204","61","104","700","645"
