	aimDotPos	pokeDist	pokePos	pokeTime	trial
0	[  13. -114.]				0
1	[ 127.  139.]	24.3515913238	[ 135.  162.]	5.16885052272	1
2	[  33.  101.]				2
3	[ 18.  41.]				3
4	[ 125.   31.]	14.3178210633	[ 119.   18.]	2.33315966721	4
5	[  99. -115.]				5
6	[-32. -30.]	69.8569967863	[-60. -94.]	1.91746041423	5
7	[  59. -125.]				6
8	[  85. -148.]	18.4390889146	[  67. -152.]	2.1840144092	7
9	[ 62.  89.]	12.6491106407	[ 50.  85.]	2.30063681921	8
10	[ 23. -95.]	17.0293863659	[ 40. -94.]	3.84999989439	9
11	[  79. -100.]	12.3693168769	[  76. -112.]	2.39907439798	10
12	[-114.  147.]				11
13	[ -39. -129.]				12
14	[  34.  124.]	31.6227766017	[   4.  134.]	1.96733920521	13
15	[  25.  105.]				14
16	[  39.  127.]	35.5105618091	[  58.  157.]	2.00038818293	15
17	[-65. -60.]	13.0384048104	[-64. -47.]	6.09909893863	16
18	[ -57. -159.]				17
19	[ 90.   0.]	13.3416640641	[ 87. -13.]	2.18377745466	18
20	[ 69.  49.]	18.0277563773	[ 54.  39.]	2.03401611478	19
21	[ -38. -152.]	7.28010988928	[ -31. -150.]	2.08410529722	20
22	[ -15.  144.]	12.6491106407	[ -19.  156.]	2.25060770544	21
23	[ 93.  99.]	20.6155281281	[  73.  104.]	1.91741604183	22
24	[ 82. -99.]	39.3192065027	[  43. -104.]	2.51660266879	23
25	[ 135.  141.]	14.7648230602	[ 122.  148.]	2.10069574101	24
26	[ -52. -156.]				25
27	[ 107.   43.]	20.0	[ 107.   23.]	2.10066797049	26
28	[-29.  66.]	13.9283882772	[-16.  61.]	1.98407876433	27
29	[-93.  67.]	2.82842712475	[-95.  69.]	1.90074319218	28
30	[ -7.  31.]	18.8679622641	[-17.  47.]	1.96738357749	29
31	[-117.  -85.]	29.8328677804	[-110. -114.]	3.31670113327	0
32	[ 76.  45.]	20.2484567313	[ 69.  64.]	2.6336817824	1
33	[ 123.  108.]				2
34	[ 151.  -47.]	34.1320963318	[ 133.  -18.]	2.01737797819	3
35	[ 20. -19.]	11.401754251	[ 27. -10.]	2.43285476556	4
36	[ 50. -28.]	18.4390889146	[ 64. -40.]	2.30056980788	5
37	[ 82.  46.]	43.1740662898	[ 72.   4.]	2.71712421044	6
38	[ -9. -25.]	22.5610283454	[ -4. -47.]	1.83408982726	7
39	[  81.  154.]	52.3545604508	[  35.  129.]	2.30106846895	8
40	[  9.  53.]	6.0827625303	[  8.  59.]	1.73321237077	9
41	[ 117.  150.]	8.60232526704	[ 124.  145.]	2.21819201531	10
42	[-116.   82.]	21.0237960416	[-117.  103.]	1.75053692108	11
43	[ 59.  84.]	19.1049731745	[ 72.  98.]	1.91737408424	12
