,aimDotPos,pokeDist,pokePos,pokeTime,trial
0,"[-133.0, 138.0]",55.6596802003,"[-150.0, 191.0]",0.781434894379,1
1,"[44.0, -12.0]",24.0208242989,"[45.0, -36.0]",0.781766328975,2
2,"[124.0, -77.0]",28.6356421266,"[150.0, -65.0]",0.748070178408,3
3,"[-98.0, -143.0]",13.416407865,"[-110.0, -137.0]",0.798453969386,4
4,"[128.0, -97.0]",6.7082039325,"[125.0, -91.0]",0.747829903441,5
5,"[-66.0, -15.0]",14.3178210633,"[-79.0, -9.0]",0.764446910238,6
6,"[28.0, -45.0]",11.1803398875,"[30.0, -34.0]",0.764633455401,7
7,"[112.0, 42.0]",21.2602916255,"[128.0, 28.0]",0.730990129101,8
8,"[142.0, 90.0]",35.1140997322,"[130.0, 123.0]",0.649210609161,9
9,"[-32.0, 26.0]",34.2344855372,"[-28.0, 60.0]",0.781025581731,10
10,"[-158.0, -135.0]",41.1460812229,"[-195.0, -117.0]",0.748088893291,11
11,"[-138.0, 38.0]",10.8166538264,"[-144.0, 29.0]",0.765342206199,12
12,"[101.0, 80.0]",26.6270539114,"[116.0, 58.0]",0.631279938156,13
13,"[-5.0, -160.0]",36.235341864,"[-22.0, -128.0]",0.764448117654,14
14,"[-85.0, -67.0]",43.1740662898,"[-95.0, -25.0]",0.664775054625,15
15,"[-80.0, -131.0]",19.4164878389,"[-96.0, -120.0]",0.697871121462,16
16,"[-100.0, -98.0]",10.0498756211,"[-99.0, -88.0]",0.74785857946,17
17,"[-125.0, 137.0]",23.0,"[-125.0, 160.0]",0.831355341026,18
18,"[-152.0, -81.0]",21.5406592285,"[-144.0, -61.0]",0.731707633648,19
19,"[-126.0, 3.0]",9.21954445729,"[-119.0, 9.0]",0.73161375738,20
20,"[-128.0, -158.0]",22.360679775,"[-108.0, -148.0]",0.748556463572,21
21,"[94.0, -37.0]",5.0,"[91.0, -33.0]",0.697826145362,22
22,"[25.0, 54.0]",25.079872408,"[35.0, 77.0]",0.781348262579,23
23,"[-88.0, -38.0]",3.60555127546,"[-85.0, -40.0]",0.698617905742,24
24,"[-66.0, 100.0]",23.7065391823,"[-77.0, 121.0]",0.597972574251,25
25,"[-51.0, -124.0]",15.5241746963,"[-47.0, -109.0]",0.698008464562,26
26,"[87.0, 42.0]",3.60555127546,"[85.0, 39.0]",0.714837674022,27
27,"[-133.0, -20.0]",8.0622577483,"[-140.0, -24.0]",0.664402869894,28
28,"[58.0, -60.0]",41.0365690574,"[88.0, -32.0]",0.697825239797,29
29,"[146.0, -76.0]",16.4924225025,"[130.0, -72.0]",0.715585665719,30
30,"[-125.0, -34.0]",28.6006992922,"[-148.0, -17.0]",0.749117608255,31
31,"[82.0, 103.0]",16.6433169771,"[68.0, 94.0]",0.664544137093,32
32,"[67.0, -141.0]",30.6757233004,"[38.0, -131.0]",0.681361272436,33
