,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial
0,"[0.0, -100.0]",,,,0.383841339848,1
1,"[100.0, -100.0]",33.1360830516,"[133.0, -97.0]",0.833876207762,0.567106764996,2
2,"[0.0, 0.0]",,,,0.749746940681,3
3,"[100.0, -100.0]",11.7046999107,"[111.0, -96.0]",0.817730887909,0.533722464344,4
4,"[-100.0, 0.0]",15.2315462117,"[-86.0, -6.0]",0.899961271149,0.465731907054,5
5,"[0.0, 100.0]",16.1554944214,"[15.0, 106.0]",0.867733126273,0.383754507988,6
6,"[0.0, -100.0]",17.8044938148,"[-14.0, -89.0]",0.833214903483,0.400230930711,7
7,"[-100.0, -100.0]",23.0867927612,"[-98.0, -77.0]",0.767372308299,0.317377100582,8
8,"[100.0, 0.0]",,,,0.350041207625,9
9,"[-100.0, 0.0]",16.1245154966,"[-116.0, 2.0]",0.883970986702,0.433254984324,10
10,"[-100.0, -100.0]",13.0,"[-112.0, -105.0]",0.849520066113,0.399159503577,11
11,"[100.0, 100.0]",,,,0.599993209704,12
12,"[-100.0, -100.0]",8.94427191,"[-92.0, -96.0]",0.766935444844,0.350049620378,13
13,"[-100.0, 100.0]",15.0,"[-109.0, 88.0]",0.834096742736,0.416968750476,14
14,"[-100.0, 100.0]",15.6524758425,"[-93.0, 86.0]",0.883989615017,0.433917490474,15
15,"[0.0, 0.0]",16.4924225025,"[4.0, -16.0]",0.76699463476,0.350487084768,16
16,"[100.0, 100.0]",21.2132034356,"[103.0, 121.0]",0.800562213815,0.31690628553,17
17,"[0.0, 100.0]",5.83095189485,"[-5.0, 103.0]",0.783978528169,0.332920606539,18
18,"[0.0, 100.0]",13.0,"[-5.0, 88.0]",0.783540162491,0.333346653613,19
19,"[100.0, 100.0]",11.1803398875,"[90.0, 105.0]",0.767327840789,0.349398832012,20
20,"[0.0, -100.0]",27.7848879789,"[-24.0, -86.0]",0.751071352046,0.300626060809,21
21,"[-100.0, 0.0]",3.60555127546,"[-98.0, -3.0]",0.799739564478,0.332348838216,22
22,"[-100.0, 100.0]",9.89949493661,"[-107.0, 107.0]",0.81717083737,0.316874737677,23
23,"[-100.0, 0.0]",8.0,"[-92.0, 0.0]",0.883998628764,0.299912777555,24
24,"[-100.0, -100.0]",27.6586333719,"[-79.0, -118.0]",0.716674213181,0.249565615319,25
