,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial,,
0,,0,,"[56.0, 100.0]",0,,,5,1,-7,-44,,64,"[100.0, 100.0]",35,,
1,1,0,43.01162634,"[32.0, 100.0]",-1,"[-9, 87]",0.750262967,1,1,1,32,15.8113883,64,"[0.0, 100.0]",34,,
2,1,0,54.08326913,"[-132.0, 100.0]",0,"[-78, 103]",0.867539927,1,1,1,-32,22.20360331,64,"[-100.0, 100.0]",33,,
3,1,0,64.03124237,"[-56.0, 0.0]",-5,"[-120, -2]",0.767320871,1,1,1,44,20.09975124,64,"[-100.0, 0.0]",32,,
4,1,0,51.2445119,"[56.0, -100.0]",-5,"[107, -95]",0.683962926,1,1,1,-44,8.602325267,64,"[100.0, -100.0]",31,,
5,1,0,57.24508713,"[-44.0, -100.0]",-1,"[10, -119]",0.800553965,1,1,1,-44,21.47091055,64,"[0.0, -100.0]",30,,
6,-2,0,80.52328856,"[44.0, 0.0]",0,"[-34, -20]",0.801427967,4,1,0,44,39.44616585,64,"[0.0, 0.0]",29,,
7,1,0,39.2173431,"[-56.0, 0.0]",-1,"[-93, 13]",0.868029957,1,1,1,44,14.76482306,64,"[-100.0, 0.0]",28,,
8,1,0,39.11521443,"[132.0, -100.0]",0,"[93, -103]",0.767560328,1,1,1,32,7.615773106,64,"[100.0, -100.0]",27,,
9,0,0,31.40063694,"[68.0, 0.0]",-1,"[99, 5]",0.734228086,3,1,0,-32,5.099019514,64,"[100.0, 0.0]",26,,
10,0,0,31.6227766,"[132.0, 0.0]",-5,"[102, -10]",0.933594502,3,1,-4,32,10.19803903,64,"[100.0, 0.0]",25,,
11,-2,0,57.00877126,"[-32.0, -100.0]",-5,"[13, -65]",0.801202331,4,1,0,-32,37.33630941,64,"[0.0, -100.0]",24,,
12,1,0,73.55270219,"[44.0, 0.0]",-5,"[-29, -9]",0.834384048,1,1,1,44,30.3644529,64,"[0.0, 0.0]",23,,
13,1,0,53.85164807,"[132.0, -100.0]",-1,"[80, -86]",0.850750623,1,1,1,32,24.41311123,64,"[100.0, -100.0]",22,,
14,1,0,47.92702787,"[-44.0, 100.0]",-5,"[0, 81]",0.900769416,1,1,1,-44,19,64,"[0.0, 100.0]",21,,
15,1,0,42.3792402,"[44.0, 0.0]",-1,"[4, 14]",0.800659122,1,1,1,44,14.56021978,64,"[0.0, 0.0]",20,,
16,1,0,44.18144407,"[-132.0, 100.0]",-1,"[-88, 104]",0.799890877,1,1,1,-32,12.64911064,64,"[-100.0, 100.0]",19,,
17,1,0,54.08326913,"[-68.0, 100.0]",-5,"[-122, 103]",0.901176823,1,1,1,32,22.20360331,64,"[-100.0, 100.0]",18,,
18,1,0,43.0464865,"[68.0, 0.0]",-5,"[111, -2]",0.851018922,1,1,1,-32,11.18033989,64,"[100.0, 0.0]",17,,
19,1,0,33.06055051,"[-32.0, 100.0]",0,"[1, 98]",0.767417615,1,1,1,-32,2.236067978,64,"[0.0, 100.0]",16,,
20,1,0,44.10215414,"[32.0, -100.0]",0,"[-5, -124]",0.916828332,1,1,1,32,24.51530134,64,"[0.0, -100.0]",15,,
21,1,0,65,"[56.0, 0.0]",0,"[121, 0]",0.884718912,1,1,1,-44,21,64,"[100.0, 0.0]",14,,
