,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,,0,,"[132.0, -100.0]",-5.0,,,5,1.0,-7.0,32.0,,64.0,"[100.0, -100.0]",35
1,1.0,0,45.5411901469,"[-32.0, 0.0]",-5.0,"[11, -15]",0.818215850388,1,1.0,1.0,-32.0,18.6010752377,64.0,"[0.0, 0.0]",34
2,,0,,"[-44.0, -100.0]",0.0,,,5,1.0,-7.0,-44.0,,64.0,"[0.0, -100.0]",33
3,1.0,0,63.0079360081,"[-56.0, 0.0]",0.0,"[-119, -1]",0.800407883915,1,1.0,1.0,44.0,19.0262975904,64.0,"[-100.0, 0.0]",32
4,1.0,0,49.7292670366,"[68.0, -100.0]",-1.0,"[116, -87]",0.800528662738,1,1.0,1.0,-32.0,20.6155281281,64.0,"[100.0, -100.0]",31
5,1.0,0,56.8858506133,"[56.0, 100.0]",-5.0,"[112, 110]",0.818104084909,1,1.0,1.0,-44.0,15.6204993518,64.0,"[100.0, 100.0]",30
6,1.0,0,56.5685424949,"[-68.0, 100.0]",0.0,"[-124, 108]",0.901223952183,1,1.0,1.0,32.0,25.2982212813,64.0,"[-100.0, 100.0]",29
7,1.0,0,47.539457296,"[44.0, 0.0]",-1.0,"[0, 18]",0.866530084444,1,1.0,1.0,44.0,18.0,64.0,"[0.0, 0.0]",28
8,-2.0,0,58.8302643203,"[-32.0, 100.0]",0.0,"[18, 131]",0.883874164087,4,1.0,0.0,-32.0,35.8468966579,64.0,"[0.0, 100.0]",27
9,1.0,0,53.4602656185,"[56.0, 100.0]",-1.0,"[109, 107]",0.967172796041,1,1.0,1.0,-44.0,11.401754251,64.0,"[100.0, 100.0]",26
10,1.0,0,56.5154846038,"[44.0, -100.0]",-5.0,"[-11, -113]",0.934718444129,1,1.0,1.0,44.0,17.0293863659,64.0,"[0.0, -100.0]",25
11,,0,,"[68.0, 100.0]",0.0,,,5,1.0,-7.0,-32.0,,64.0,"[100.0, 100.0]",24
12,,0,,"[-44.0, 0.0]",0.0,,,5,1.0,-7.0,-44.0,,64.0,"[0.0, 0.0]",23
13,-2.0,0,74.1080292546,"[132.0, 0.0]",0.0,"[58, -4]",0.867694308192,4,1.0,0.0,32.0,42.1900462195,64.0,"[100.0, 0.0]",22
14,1.0,0,63.5059052372,"[144.0, -100.0]",0.0,"[81, -108]",0.833680647567,1,1.0,1.0,44.0,20.6155281281,64.0,"[100.0, -100.0]",21
15,1.0,0,58.137767415,"[44.0, 100.0]",-5.0,"[-14, 96]",0.866910748053,1,1.0,1.0,44.0,14.5602197786,64.0,"[0.0, 100.0]",20
16,1.0,0,53.0094331228,"[-44.0, 100.0]",-1.0,"[9, 101]",0.868101711392,1,1.0,1.0,-44.0,9.05538513814,64.0,"[0.0, 100.0]",19
17,1.0,0,60.0083327547,"[-68.0, 100.0]",-5.0,"[-128, 99]",0.866829928393,1,1.0,1.0,32.0,28.0178514522,64.0,"[-100.0, 100.0]",18
18,1.0,0,54.4518135602,"[-132.0, -100.0]",-5.0,"[-78, -107]",0.817323829662,1,1.0,1.0,-32.0,23.0867927612,64.0,"[-100.0, -100.0]",17
19,1.0,0,48.1663783152,"[-132.0, 100.0]",-1.0,"[-84, 96]",0.86785684885,1,1.0,1.0,-32.0,16.4924225025,64.0,"[-100.0, 100.0]",16
20,1.0,0,47.1699056603,"[-56.0, -100.0]",-1.0,"[-103, -104]",0.851256971073,1,1.0,1.0,44.0,5.0,64.0,"[-100.0, -100.0]",15
21,,0,,"[32.0, -100.0]",-1.0,,,5,1.0,-7.0,32.0,,64.0,"[0.0, -100.0]",14
22,1.0,0,57.9741321625,"[-44.0, 100.0]",-5.0,"[12, 115]",0.951204152869,1,1.0,1.0,-44.0,19.2093727123,64.0,"[0.0, 100.0]",13
23,1.0,0,48.2597140481,"[-132.0, -100.0]",0.0,"[-84, -95]",0.833936626568,1,1.0,1.0,-32.0,16.7630546142,64.0,"[-100.0, -100.0]",12
24,1.0,0,57.2188780037,"[56.0, 100.0]",0.0,"[113, 95]",0.819188690777,1,1.0,1.0,-44.0,13.9283882772,64.0,"[100.0, 100.0]",11
25,1.0,0,50.6063237155,"[132.0, -100.0]",-5.0,"[88, -75]",0.783945008981,1,1.0,1.0,32.0,27.7308492477,64.0,"[100.0, -100.0]",10
26,1.0,0,43.8292140016,"[-144.0, 0.0]",-1.0,"[-105, -20]",0.851580249717,1,1.0,1.0,-44.0,20.6155281281,64.0,"[-100.0, 0.0]",9
27,1.0,0,57.5847201956,"[32.0, 0.0]",0.0,"[-22, 20]",0.917518578008,1,1.0,1.0,32.0,29.7321374946,64.0,"[0.0, 0.0]",8
28,1.0,0,55.1452627158,"[-132.0, 0.0]",-5.0,"[-77, 4]",0.850533800345,1,1.0,1.0,-32.0,23.3452350599,64.0,"[-100.0, 0.0]",7
29,1.0,0,41.7851648316,"[-32.0, 0.0]",-1.0,"[7, 15]",0.801556784976,1,1.0,1.0,-32.0,16.5529453572,64.0,"[0.0, 0.0]",6
30,1.0,0,46.270941205,"[-144.0, -100.0]",-5.0,"[-98, -105]",0.833666827104,1,1.0,1.0,-44.0,5.38516480713,64.0,"[-100.0, -100.0]",5
31,1.0,0,63.324560796,"[-56.0, 100.0]",-5.0,"[-117, 83]",0.801250631685,1,1.0,1.0,44.0,24.0416305603,64.0,"[-100.0, 100.0]",4
32,1.0,0,51.2445119013,"[144.0, 0.0]",-1.0,"[93, 5]",0.800711032753,1,1.0,1.0,44.0,8.60232526704,64.0,"[100.0, 0.0]",3
33,-1.0,0,19.0262975904,"[44.0, -100.0]",0.0,"[45, -81]",0.801155991561,2,1.0,0.0,44.0,48.8466989673,64.0,"[0.0, -100.0]",2
34,1.0,0,51.923019943,"[32.0, -100.0]",-1.0,"[-18, -86]",0.816399360894,1,1.0,1.0,32.0,22.803508502,64.0,"[0.0, -100.0]",1
35,1.0,0,44.4072066223,"[132.0, 0.0]",-1.0,"[88, -6]",0.800498918699,1,1.0,1.0,32.0,13.416407865,64.0,"[100.0, 0.0]",0
36,1.0,1,46.0977222865,"[32.0, 100.0]",0.0,"[-14, 97]",0.833804130394,1,1.0,1.0,32.0,14.3178210633,64.0,"[0.0, 100.0]",35
37,-2.0,1,56.8242905807,"[132.0, 0.0]",-5.0,"[82, -27]",0.835426532522,4,1.0,0.0,32.0,32.4499614792,64.0,"[100.0, 0.0]",34
38,1.0,1,45.6946386352,"[-32.0, -100.0]",-5.0,"[10, -118]",0.915518817161,1,1.0,1.0,-32.0,20.591260282,64.0,"[0.0, -100.0]",33
39,,1,,"[-144.0, 100.0]",-1.0,,,5,1.0,-7.0,-44.0,,64.0,"[-100.0, 100.0]",32
40,1.0,1,48.0104155366,"[-144.0, 0.0]",0.0,"[-96, -1]",0.817268848255,1,1.0,1.0,-44.0,4.12310562562,64.0,"[-100.0, 0.0]",31
41,1.0,1,54.5710545986,"[144.0, 100.0]",-5.0,"[91, 113]",0.817891670406,1,1.0,1.0,44.0,15.8113883008,64.0,"[100.0, 100.0]",30
42,-2.0,1,64.4049687524,"[-68.0, 0.0]",-1.0,"[-126, 28]",0.917868896686,4,1.0,0.0,32.0,38.2099463491,64.0,"[-100.0, 0.0]",29
43,1.0,1,67.0671305484,"[144.0, 0.0]",0.0,"[77, 3]",0.801219385423,1,1.0,1.0,44.0,23.1948270095,64.0,"[100.0, 0.0]",28
44,1.0,1,49.244289009,"[-44.0, 0.0]",-5.0,"[1, 20]",0.850118285132,1,1.0,1.0,-44.0,20.0249843945,64.0,"[0.0, 0.0]",27
45,0.0,1,23.1948270095,"[-32.0, 100.0]",-1.0,"[-9, 103]",0.833202339381,3,1.0,0.0,-32.0,9.48683298051,64.0,"[0.0, 100.0]",26
