,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,-2,0,50.9901951359,"[132.0, -100.0]",-5.0,"[94, -66]",1.0348766672,4,0.332979195518,1.0,-5.0,32.0,34.5253530033,64.0,"[100.0, -100.0]",35
1,1,0,59.0338885726,"[-32.0, 0.0]",-5.0,"[27, 2]",0.833706149599,1,0.332599118352,1.0,1.0,-32.0,27.0739727414,64.0,"[0.0, 0.0]",34
2,1,0,50.0899191455,"[-44.0, -100.0]",0.0,"[6, -103]",0.916822278057,1,0.366254130146,1.0,1.0,-44.0,6.7082039325,64.0,"[0.0, -100.0]",33
3,1,0,58.8217646794,"[-56.0, 0.0]",0.0,"[-112, -18]",0.833128071623,1,0.333169083926,1.0,1.0,44.0,21.6333076528,64.0,"[-100.0, 0.0]",32
4,1,0,49.0306026885,"[56.0, 100.0]",-5.0,"[104, 110]",0.816884802887,1,0.316808637232,1.0,1.0,-44.0,10.7703296143,64.0,"[100.0, 100.0]",31
5,1,0,34.0,"[-68.0, 100.0]",0.0,"[-102, 100]",0.866680026869,1,0.332868927973,1.0,1.0,32.0,2.0,64.0,"[-100.0, 100.0]",30
6,1,0,47.4341649025,"[44.0, 0.0]",-1.0,"[-1, -15]",0.800183338462,1,0.366034196224,1.0,1.0,44.0,15.0332963784,64.0,"[0.0, 0.0]",29
7,1,0,52.2015325446,"[132.0, 0.0]",-1.0,"[82, 15]",0.833851269912,1,0.33363989892,1.0,1.0,32.0,23.4307490277,64.0,"[100.0, 0.0]",28
8,0,0,28.1780056072,"[-32.0, 100.0]",0.0,"[-7, 113]",2.15080743132,3,0.366029989789,1.0,-5.0,-32.0,14.7648230602,64.0,"[0.0, 100.0]",27
9,1,0,61.0737259384,"[56.0, 100.0]",-1.0,"[117, 97]",0.932876860141,1,0.46598068485,1.0,1.0,-44.0,17.2626765016,64.0,"[100.0, 100.0]",26
10,1,0,43.5660418216,"[44.0, -100.0]",-5.0,"[1, -93]",0.86706731515,1,0.366502006655,1.0,1.0,44.0,7.07106781187,64.0,"[0.0, -100.0]",25
11,1,0,46.0434577329,"[68.0, 100.0]",0.0,"[114, 98]",0.88316486252,1,0.399802480009,1.0,1.0,-32.0,14.1421356237,64.0,"[100.0, 100.0]",24
12,1,0,70.8307842679,"[-44.0, 0.0]",0.0,"[25, -16]",0.816463262658,1,0.366122830659,1.0,1.0,-44.0,29.6816441593,64.0,"[0.0, 0.0]",23
13,1,0,52.0,"[132.0, 0.0]",0.0,"[80, 0]",0.850573766395,1,0.349804748548,1.0,1.0,32.0,20.0,64.0,"[100.0, 0.0]",22
14,1,0,55.542776308,"[144.0, -100.0]",0.0,"[93, -78]",0.800338674337,1,0.399766124785,1.0,1.0,44.0,23.0867927612,64.0,"[100.0, -100.0]",21
15,1,0,49.4974746831,"[44.0, 100.0]",-5.0,"[-5, 93]",0.867050790112,1,0.399135767482,1.0,1.0,44.0,8.60232526704,64.0,"[0.0, 100.0]",20
16,1,0,56.9385633819,"[-44.0, 100.0]",-1.0,"[5, 129]",0.799917735043,1,0.332864120719,1.0,1.0,-44.0,29.4278779391,64.0,"[0.0, 100.0]",19
17,-2,0,55.1543289326,"[-68.0, 100.0]",-5.0,"[-107, 61]",0.850011612638,4,0.416759632877,1.0,0.0,32.0,39.6232255123,64.0,"[-100.0, 100.0]",18
