,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,1,0,52.0096144958,"[132.0, -100.0]",-5.0,"[80, -101]",0.883568025464,1,0.316226702173,1.0,1.0,32.0,20.0249843945,64.0,"[100.0, -100.0]",35
1,1,0,49.244289009,"[-32.0, 0.0]",-5.0,"[16, -11]",0.866659796212,1,0.282604038565,1.0,1.0,-32.0,19.4164878389,64.0,"[0.0, 0.0]",34
2,1,0,48.1663783152,"[-44.0, -100.0]",0.0,"[4, -96]",0.900052009142,1,0.316105918376,1.0,1.0,-44.0,5.65685424949,64.0,"[0.0, -100.0]",33
3,1,0,54.0092584656,"[-56.0, 0.0]",0.0,"[-110, -1]",0.884043048306,1,0.266189760959,1.0,1.0,44.0,10.0498756211,64.0,"[-100.0, 0.0]",32
4,1,0,48.1663783152,"[68.0, -100.0]",-1.0,"[116, -96]",0.934019597622,1,0.26628530635,1.0,1.0,-32.0,16.4924225025,64.0,"[100.0, -100.0]",31
5,1,0,50.3587132481,"[56.0, 100.0]",-5.0,"[106, 106]",0.867248692335,1,0.249567266509,1.0,1.0,-44.0,8.48528137424,64.0,"[100.0, 100.0]",30
6,1,0,48.1663783152,"[-68.0, 100.0]",0.0,"[-116, 104]",0.933915038514,1,0.299570856972,1.0,1.0,32.0,16.4924225025,64.0,"[-100.0, 100.0]",29
7,1,0,64.0,"[44.0, 0.0]",-1.0,"[-20, 0]",0.783575266483,1,0.165782671491,1.0,1.0,44.0,20.0,64.0,"[0.0, 0.0]",28
8,1,0,52.0864665724,"[132.0, 0.0]",-1.0,"[80, -3]",0.966646846507,1,0.31575708756,1.0,1.0,32.0,20.2237484162,64.0,"[100.0, 0.0]",27
9,1,0,47.0425339454,"[-32.0, 100.0]",0.0,"[15, 98]",1.03389397646,1,0.416251009161,1.0,-5.0,-32.0,15.1327459504,64.0,"[0.0, 100.0]",26
10,1,0,46.0108682813,"[56.0, 100.0]",-1.0,"[102, 99]",0.749885901377,1,0.249127998075,1.0,1.0,-44.0,2.2360679775,64.0,"[100.0, 100.0]",25
11,1,0,53.0377224247,"[44.0, -100.0]",-5.0,"[-9, -102]",0.766274940577,1,0.2155921666,1.0,1.0,44.0,9.21954445729,64.0,"[0.0, -100.0]",24
12,1,0,50.3587132481,"[-44.0, 0.0]",0.0,"[6, 6]",0.766588317443,1,0.19911268978,1.0,1.0,-44.0,8.48528137424,64.0,"[0.0, 0.0]",23
13,1,0,53.8516480713,"[132.0, 0.0]",0.0,"[80, -14]",0.750251858253,1,0.23289639845,1.0,1.0,32.0,24.4131112315,64.0,"[100.0, 0.0]",22
14,1,0,58.0517010948,"[144.0, -100.0]",0.0,"[87, -111]",0.767306710622,1,0.216462290668,1.0,1.0,44.0,17.0293863659,64.0,"[100.0, -100.0]",21
15,1,0,51.0,"[44.0, 100.0]",-5.0,"[-7, 100]",0.783487833436,1,0.216245360565,1.0,1.0,44.0,7.0,64.0,"[0.0, 100.0]",20
16,1,0,55.4436651025,"[-44.0, 100.0]",-1.0,"[11, 107]",0.766900192022,1,0.182944787082,1.0,1.0,-44.0,13.0384048104,64.0,"[0.0, 100.0]",19
17,1,0,47.0,"[-68.0, 100.0]",-5.0,"[-115, 100]",0.800412587835,1,0.149650222745,1.0,1.0,32.0,15.0,64.0,"[-100.0, 100.0]",18
18,1,0,44.0454310911,"[-132.0, -100.0]",-5.0,"[-88, -98]",0.849901795562,1,0.265981544116,1.0,1.0,-32.0,12.1655250606,64.0,"[-100.0, -100.0]",17
19,1,0,51.0392006207,"[-132.0, 100.0]",-1.0,"[-81, 102]",0.883718554524,1,0.215999286113,1.0,1.0,-32.0,19.1049731745,64.0,"[-100.0, 100.0]",16
20,1,0,55.2268050859,"[-56.0, -100.0]",-1.0,"[-111, -105]",0.950266220108,1,0.299173953004,1.0,1.0,44.0,12.0830459736,64.0,"[-100.0, -100.0]",15
21,1,0,52.0096144958,"[32.0, -100.0]",-1.0,"[-20, -101]",0.849505792966,1,0.198919796254,1.0,1.0,32.0,20.0249843945,64.0,"[0.0, -100.0]",14
22,1,0,43.1740662898,"[-132.0, -100.0]",0.0,"[-90, -90]",0.850256034608,1,0.266351406935,1.0,1.0,-32.0,14.1421356237,64.0,"[-100.0, -100.0]",13
23,1,0,61.8142378421,"[56.0, 100.0]",0.0,"[117, 110]",0.716817280856,1,0.132657565016,1.0,1.0,-44.0,19.7230829233,64.0,"[100.0, 100.0]",12
24,1,0,54.1479454827,"[132.0, -100.0]",-5.0,"[78, -104]",0.883265164601,1,0.266052452016,1.0,1.0,32.0,22.360679775,64.0,"[100.0, -100.0]",11
25,1,0,56.3205113613,"[-144.0, 0.0]",-1.0,"[-88, -6]",0.900101885039,1,0.266223412166,1.0,1.0,-44.0,13.416407865,64.0,"[-100.0, 0.0]",10
26,1,0,55.1452627158,"[32.0, 0.0]",0.0,"[-23, -4]",0.766889075106,1,0.116005325303,1.0,1.0,32.0,23.3452350599,64.0,"[0.0, 0.0]",9
27,1,0,49.3659801888,"[-132.0, 0.0]",-5.0,"[-83, -6]",0.8341064598,1,0.149846120842,1.0,1.0,-32.0,18.0277563773,64.0,"[-100.0, 0.0]",8
28,1,0,42.0119030752,"[-32.0, 0.0]",-1.0,"[10, -1]",0.86734814367,1,0.282654815833,1.0,1.0,-32.0,10.0498756211,64.0,"[0.0, 0.0]",7
29,1,0,46.0434577329,"[-144.0, -100.0]",-5.0,"[-98, -102]",0.750104033307,1,0.115941327918,1.0,1.0,-44.0,2.82842712475,64.0,"[-100.0, -100.0]",6
30,1,0,49.244289009,"[-56.0, 100.0]",-5.0,"[-104, 89]",0.833592077064,1,0.249511081012,1.0,1.0,44.0,11.7046999107,64.0,"[-100.0, 100.0]",5
31,1,0,64.6297145282,"[144.0, 0.0]",-1.0,"[80, 9]",0.733275725672,1,0.182471266527,1.0,1.0,44.0,21.9317121995,64.0,"[100.0, 0.0]",4
32,1,0,64.0078120232,"[44.0, -100.0]",0.0,"[-20, -99]",0.833352612671,1,0.249399310931,1.0,1.0,44.0,20.0249843945,64.0,"[0.0, -100.0]",3
33,1,0,59.4138031101,"[32.0, -100.0]",-1.0,"[-27, -107]",0.884052963394,1,0.233036711965,1.0,1.0,32.0,27.892651362,64.0,"[0.0, -100.0]",2
34,1,0,44.72135955,"[68.0, 100.0]",0.0,"[112, 92]",0.816766473543,1,0.232647018969,1.0,1.0,-32.0,14.4222051019,64.0,"[100.0, 100.0]",1
35,1,0,59.0,"[-44.0, 100.0]",-5.0,"[15, 100]",0.783721288684,1,0.149576911185,1.0,1.0,-44.0,15.0,64.0,"[0.0, 100.0]",0
36,1,1,52.0864665724,"[132.0, 0.0]",-5.0,"[80, 3]",0.733605928141,1,0.115797108459,1.0,1.0,32.0,20.2237484162,64.0,"[100.0, 0.0]",35
37,1,1,40.6078810085,"[-32.0, -100.0]",-5.0,"[8, -93]",0.833821926826,1,0.232825490549,1.0,1.0,-32.0,10.6301458127,64.0,"[0.0, -100.0]",34
38,1,1,45.607017004,"[-144.0, 100.0]",-1.0,"[-100, 112]",0.817039589143,1,0.18263531616,1.0,1.0,-44.0,12.0,64.0,"[-100.0, 100.0]",33
39,1,1,64.0078120232,"[144.0, 100.0]",-5.0,"[80, 99]",0.85022358523,1,0.24947803072,1.0,1.0,44.0,20.0249843945,64.0,"[100.0, 100.0]",32
40,1,1,52.2398315464,"[-68.0, 0.0]",-1.0,"[-120, -5]",0.866597301113,1,0.215920866783,1.0,1.0,32.0,20.6155281281,64.0,"[-100.0, 0.0]",31
41,1,1,57.008771255,"[144.0, 0.0]",0.0,"[87, -1]",0.800229008482,1,0.14947745985,1.0,1.0,44.0,13.0384048104,64.0,"[100.0, 0.0]",30
42,1,1,44.9110231458,"[-44.0, 0.0]",-5.0,"[0, 9]",2.00159903325,1,0.216249566965,1.0,-5.0,-44.0,9.0,64.0,"[0.0, 0.0]",29
43,1,1,47.5184174821,"[-32.0, 100.0]",-1.0,"[15, 93]",0.833684317426,1,0.216356830188,1.0,1.0,-32.0,16.5529453572,64.0,"[0.0, 100.0]",28
44,1,1,46.0434577329,"[-132.0, 100.0]",0.0,"[-86, 98]",0.883603479415,1,0.283167395826,1.0,1.0,-32.0,14.1421356237,64.0,"[-100.0, 100.0]",27
45,1,1,54.0,"[144.0, 100.0]",-1.0,"[90, 100]",0.766965090779,1,0.199444694993,1.0,1.0,44.0,10.0,64.0,"[100.0, 100.0]",26
46,1,1,51.923019943,"[-144.0, -100.0]",0.0,"[-94, -86]",0.816643887003,1,0.165461482738,1.0,1.0,-44.0,15.2315462117,64.0,"[-100.0, -100.0]",25
47,1,1,52.2398315464,"[-144.0, -100.0]",-5.0,"[-92, -95]",0.817126421275,1,0.249521597014,1.0,1.0,-44.0,9.43398113206,64.0,"[-100.0, -100.0]",24
48,1,1,43.931765273,"[-132.0, -100.0]",-1.0,"[-89, -91]",0.800011477466,1,0.13257223517,1.0,1.0,-32.0,14.2126704036,64.0,"[-100.0, -100.0]",23
49,1,1,46.1735855225,"[-132.0, 100.0]",-5.0,"[-86, 96]",0.916884823636,1,0.282901190742,1.0,1.0,-32.0,14.5602197786,64.0,"[-100.0, 100.0]",22
50,1,1,51.4198405287,"[132.0, -100.0]",0.0,"[82, -112]",0.884071291284,1,0.232948377546,1.0,1.0,32.0,21.6333076528,64.0,"[100.0, -100.0]",21
51,1,1,47.0425339454,"[-132.0, -100.0]",0.0,"[-85, -98]",1.00023826256,1,0.282666533664,1.0,-5.0,-32.0,15.1327459504,64.0,"[-100.0, -100.0]",20
52,1,1,64.28063472,"[-56.0, 0.0]",0.0,"[-120, 6]",0.900194125401,1,0.266276893549,1.0,1.0,44.0,20.8806130178,64.0,"[-100.0, 0.0]",19
53,1,1,55.0,"[44.0, 0.0]",-5.0,"[-11, 0]",0.749915646639,1,0.182588144379,1.0,1.0,44.0,11.0,64.0,"[0.0, 0.0]",18
54,1,1,52.038447325,"[-68.0, -100.0]",-1.0,"[-120, -98]",0.816770679944,1,0.149553775981,1.0,1.0,32.0,20.0997512422,64.0,"[-100.0, -100.0]",17
55,1,1,59.5399025864,"[-44.0, 100.0]",-1.0,"[15, 108]",0.783490838008,1,0.16583435013,1.0,1.0,-44.0,17.0,64.0,"[0.0, 100.0]",16
56,1,1,52.0864665724,"[32.0, 100.0]",-5.0,"[-20, 97]",0.783609218147,1,0.166261600277,1.0,1.0,32.0,20.2237484162,64.0,"[0.0, 100.0]",15
57,1,1,54.2309874518,"[144.0, -100.0]",-1.0,"[90, -105]",0.850951292582,1,0.216109854365,1.0,1.0,44.0,11.1803398875,64.0,"[100.0, -100.0]",14
58,1,1,57.2188780037,"[132.0, 100.0]",0.0,"[75, 95]",0.833707152173,1,0.216180161351,1.0,1.0,32.0,25.495097568,64.0,"[100.0, 100.0]",13
59,1,1,45.607017004,"[-132.0, 100.0]",-1.0,"[-88, 88]",0.867340331783,1,0.266337886362,1.0,1.0,-32.0,16.9705627485,64.0,"[-100.0, 100.0]",12
60,1,1,48.0520551069,"[68.0, 0.0]",0.0,"[115, -10]",0.800739785732,1,0.166113474875,1.0,1.0,-32.0,18.0277563773,64.0,"[100.0, 0.0]",11
61,1,1,53.0848377599,"[32.0, -100.0]",-5.0,"[-21, -97]",0.866991500968,1,0.266198474218,1.0,1.0,32.0,21.2132034356,64.0,"[0.0, -100.0]",10
62,1,1,53.1507290637,"[44.0, 100.0]",0.0,"[-9, 104]",0.75052196928,1,0.116329518628,1.0,1.0,44.0,9.8488578018,64.0,"[0.0, 100.0]",9
63,1,1,52.038447325,"[56.0, 0.0]",-1.0,"[108, 2]",0.850320933364,1,0.266670492488,1.0,1.0,-44.0,8.24621125124,64.0,"[100.0, 0.0]",8
64,1,1,53.16013544,"[56.0, -100.0]",0.0,"[107, -85]",0.900151760934,1,0.299499648615,1.0,1.0,-44.0,16.5529453572,64.0,"[100.0, -100.0]",7
65,1,1,58.8557558782,"[144.0, 100.0]",-5.0,"[86, 110]",0.850772220087,1,0.316439125417,1.0,1.0,44.0,17.2046505341,64.0,"[100.0, 100.0]",6
66,1,1,43.4165866922,"[-68.0, 0.0]",-1.0,"[-111, -6]",0.850447726305,1,0.265889303753,1.0,1.0,32.0,12.5299640861,64.0,"[-100.0, 0.0]",5
67,1,1,56.0089278598,"[44.0, -100.0]",-1.0,"[-12, -99]",0.750341694957,1,0.132577943857,1.0,1.0,44.0,12.0415945788,64.0,"[0.0, -100.0]",4
68,1,1,60.207972894,"[56.0, -100.0]",-5.0,"[116, -95]",0.800391555831,1,0.199531226668,1.0,1.0,-44.0,16.7630546142,64.0,"[100.0, -100.0]",3
69,1,1,53.600373133,"[68.0, 0.0]",-5.0,"[120, 13]",0.717200964708,1,0.116181994141,1.0,1.0,-32.0,23.8537208838,64.0,"[100.0, 0.0]",2
70,1,1,43.4165866922,"[32.0, 100.0]",0.0,"[-11, 106]",0.833999196577,1,0.300360758966,1.0,1.0,32.0,12.5299640861,64.0,"[0.0, 100.0]",1
71,1,1,54.4518135602,"[-144.0, 0.0]",0.0,"[-90, 7]",0.783290433053,1,0.148952260655,1.0,1.0,-44.0,12.2065556157,64.0,"[-100.0, 0.0]",0
72,1,2,64.0312423743,"[-56.0, 0.0]",-5.0,"[-120, 2]",0.80027768255,1,0.216323779896,1.0,1.0,44.0,20.0997512422,64.0,"[-100.0, 0.0]",35
73,1,2,48.1663783152,"[-44.0, -100.0]",-5.0,"[4, -96]",0.750297227291,1,0.216066888985,1.0,1.0,-44.0,5.65685424949,64.0,"[0.0, -100.0]",34
74,1,2,50.0399840128,"[-44.0, 0.0]",0.0,"[6, -2]",0.733794615266,1,0.115714783185,1.0,1.0,-44.0,6.32455532034,64.0,"[0.0, 0.0]",33
75,1,2,51.4198405287,"[-132.0, 100.0]",0.0,"[-82, 88]",0.850100397775,1,0.232508508197,1.0,1.0,-32.0,21.6333076528,64.0,"[-100.0, 100.0]",32
76,1,2,51.4781507049,"[-44.0, 100.0]",-1.0,"[7, 93]",0.90049848855,1,0.333042390605,1.0,1.0,-44.0,9.89949493661,64.0,"[0.0, 100.0]",31
77,1,2,35.0,"[-32.0, 0.0]",-1.0,"[3, 0]",0.833321064664,1,0.299220223415,1.0,1.0,-32.0,3.0,64.0,"[0.0, 0.0]",30
78,1,2,50.8035431835,"[-68.0, 100.0]",-1.0,"[-118, 91]",0.817193122774,1,0.199405936012,1.0,1.0,32.0,20.1246117975,64.0,"[-100.0, 100.0]",29
79,1,2,62.3939099592,"[44.0, -100.0]",-1.0,"[-18, -93]",0.800081483994,1,0.232791538885,1.0,1.0,44.0,19.3132079158,64.0,"[0.0, -100.0]",28
80,1,2,58.5491246732,"[44.0, -100.0]",0.0,"[-14, -92]",0.800262659689,1,0.216098737449,1.0,1.0,44.0,16.1245154966,64.0,"[0.0, -100.0]",27
81,1,2,45.3100430368,"[-68.0, 100.0]",-5.0,"[-110, 83]",0.916892635524,1,0.216205399757,1.0,1.0,32.0,19.7230829233,64.0,"[-100.0, 100.0]",26
82,1,2,35.2278299076,"[-32.0, 0.0]",-5.0,"[3, 4]",0.866491840634,1,0.282987722417,1.0,1.0,-32.0,5.0,64.0,"[0.0, 0.0]",25
83,1,2,54.0370243444,"[-68.0, 0.0]",0.0,"[-122, -2]",0.833966446742,1,0.182569516032,1.0,1.0,32.0,22.0907220344,64.0,"[-100.0, 0.0]",24
84,1,2,59.2114853723,"[-56.0, -100.0]",0.0,"[-115, -105]",0.900993942482,1,0.282914711316,1.0,1.0,44.0,15.8113883008,64.0,"[-100.0, -100.0]",23
85,1,2,47.1699056603,"[132.0, -100.0]",-5.0,"[85, -104]",0.833570444144,1,0.116143535618,1.0,1.0,32.0,15.5241746963,64.0,"[100.0, -100.0]",22
86,1,2,54.3323108288,"[144.0, 0.0]",-1.0,"[90, -6]",0.883187947099,1,0.199156256075,1.0,1.0,44.0,11.6619037897,64.0,"[100.0, 0.0]",21
87,1,2,50.2493781056,"[-68.0, 0.0]",-1.0,"[-118, 5]",2.01766778507,1,0.265951498395,1.0,-5.0,32.0,18.6815416923,64.0,"[-100.0, 0.0]",20
88,1,2,43.7378554573,"[68.0, -100.0]",-1.0,"[111, -92]",0.9008049549,1,0.249528207073,1.0,1.0,-32.0,13.6014705087,64.0,"[100.0, -100.0]",19
89,1,2,46.0108682813,"[-132.0, 0.0]",-5.0,"[-86, -1]",0.867186197236,1,0.249926613327,1.0,1.0,-32.0,14.0356688476,64.0,"[-100.0, 0.0]",18
90,1,2,54.0092584656,"[-144.0, -100.0]",-5.0,"[-90, -99]",0.767119225325,1,0.182862461808,1.0,1.0,-44.0,10.0498756211,64.0,"[-100.0, -100.0]",17
91,1,2,54.0092584656,"[-144.0, -100.0]",-1.0,"[-90, -101]",0.900355771378,1,0.26651755977,1.0,1.0,-44.0,10.0498756211,64.0,"[-100.0, -100.0]",16
92,1,2,44.0113621693,"[132.0, 100.0]",0.0,"[88, 99]",0.900646313495,1,0.266140485977,1.0,1.0,32.0,12.0415945788,64.0,"[100.0, 100.0]",15
93,1,2,45.0,"[68.0, 0.0]",0.0,"[113, 0]",0.91660810255,1,0.299682627054,1.0,1.0,-32.0,13.0,64.0,"[100.0, 0.0]",14
94,1,2,59.0084739677,"[144.0, 0.0]",-5.0,"[85, -1]",0.916717468973,1,0.248937508206,1.0,1.0,44.0,15.0332963784,64.0,"[100.0, 0.0]",13
95,1,2,46.1735855225,"[68.0, 100.0]",-5.0,"[114, 96]",0.817065128005,1,0.233252139781,1.0,1.0,-32.0,14.5602197786,64.0,"[100.0, 100.0]",12
96,1,2,64.0702739186,"[-44.0, 100.0]",0.0,"[20, 103]",0.767014065304,1,0.199623166573,1.0,1.0,-44.0,20.2237484162,64.0,"[0.0, 100.0]",11
97,1,2,59.4138031101,"[-56.0, -100.0]",-5.0,"[-115, -107]",0.900455823627,1,0.332861815825,1.0,1.0,44.0,16.5529453572,64.0,"[-100.0, -100.0]",10
98,1,2,39.0,"[-68.0, 100.0]",0.0,"[-107, 100]",0.866252977155,1,0.265495704814,1.0,1.0,32.0,7.0,64.0,"[-100.0, 100.0]",9
99,1,2,56.4358042381,"[56.0, 100.0]",-1.0,"[112, 93]",0.867839090744,1,0.283002745277,1.0,1.0,-44.0,13.8924439894,64.0,"[100.0, 100.0]",8
100,1,2,68.1835757349,"[44.0, 0.0]",-1.0,"[-24, -5]",0.833800293907,1,0.283284273679,1.0,1.0,44.0,24.5153013443,64.0,"[0.0, 0.0]",7
101,1,2,49.0917508345,"[-44.0, 100.0]",-5.0,"[5, 97]",0.800436323954,1,0.199473839341,1.0,1.0,-44.0,5.83095189485,64.0,"[0.0, 100.0]",6
102,1,2,52.1536192416,"[132.0, -100.0]",-5.0,"[80, -104]",0.817020359881,1,0.199621363829,1.0,1.0,32.0,20.3960780544,64.0,"[100.0, -100.0]",5
103,1,2,34.1320963318,"[68.0, 100.0]",-1.0,"[102, 103]",0.81734635595,1,0.199351853716,1.0,1.0,-32.0,3.60555127546,64.0,"[100.0, 100.0]",4
104,1,2,59.3043000127,"[44.0, 0.0]",0.0,"[-15, 6]",0.800003966036,1,0.216211108444,1.0,1.0,44.0,16.1554944214,64.0,"[0.0, 0.0]",3
105,1,2,52.2398315464,"[32.0, -100.0]",-1.0,"[-20, -105]",0.800718152813,1,0.132943600276,1.0,1.0,32.0,20.6155281281,64.0,"[0.0, -100.0]",2
106,1,2,50.0399840128,"[68.0, -100.0]",0.0,"[118, -98]",0.850364199202,1,0.232995549328,1.0,1.0,-32.0,18.1107702763,64.0,"[100.0, -100.0]",1
107,1,2,50.2891638427,"[-44.0, -100.0]",0.0,"[4, -85]",0.799909021558,1,0.165979771418,1.0,1.0,-44.0,15.5241746963,64.0,"[0.0, -100.0]",0
108,1,3,55.4436651025,"[-56.0, 100.0]",-5.0,"[-111, 93]",0.899930023516,1,0.199120501667,1.0,1.0,44.0,13.0384048104,64.0,"[-100.0, 100.0]",35
