"block","pen_side","pen_val","pen_x","points","poke_x","poke_y","release_time","targ_val","targ_x","targ_y","time_limit","too_slow","too_soon","trial_time"
"1","right","0","-108","100","-157","-8","856","100","-140","-9","i","0","0","856"
"1","left","0","127","100","177","49","1078","100","159","51","i","0","0","1078"
"1","left","0","-148","100","-100","-67","1059","100","-116","-55","i","0","0","1059"
"1","left","0","-50","100","-12","18","992","100","-18","15","i","0","0","992"
"1","right","0","156","100","102","123","1140","100","124","122","i","0","0","1141"
"1","left","0","32","100","80","-113","1186","100","64","-112","i","0","0","1186"
"1","right","0","-112","100","-167","-68","1195","100","-144","-76","i","0","0","1195"
"1","right","0","106","100","49","79","1055","100","74","75","i","0","0","1055"
"1","left","0","-66","100","-21","-45","1242","100","-34","-41","i","0","0","1242"
"1","left","0","108","100","153","-113","1354","100","140","-117","i","0","0","1354"
"1","right","0","7","100","-50","-50","1357","100","-25","-43","i","0","0","1357"
"1","left","0","-23","100","19","50","1377","100","9","49","i","0","0","1377"
"1","right","0","30","100","-26","87","1107","100","-2","85","i","0","0","1107"
"1","left","0","-146","100","-102","79","1240","100","-114","73","i","0","0","1240"
"1","left","0","70","100","113","14","1670","100","102","17","i","0","0","1670"
"1","right","0","144","100","83","-154","1225","100","112","-160","i","0","0","1225"
"1","left","0","-104","100","-58","-136","1549","100","-72","-143","i","0","0","1549"
"1","right","0","-38","100","-86","-45","1380","100","-70","-36","i","0","0","1380"
"1","right","0","35","100","-14","-34","1559","100","3","-28","i","0","0","1559"
"1","right","0","-86","100","-138","-77","1230","100","-118","-65","i","0","0","1230"
"1","right","0","132","100","75","-58","1440","100","100","-50","i","0","0","1440"
"1","left","0","-1","100","44","-148","1319","100","31","-149","i","0","0","1319"
"1","left","0","-185","100","-142","14","1445","100","-153","2","i","0","0","1445"
"1","right","0","117","100","71","-51","1340","100","85","-49","i","0","0","1340"
"1","left","0","-173","100","-132","-56","1419","100","-141","-52","i","0","0","1419"
"1","left","0","77","100","124","-65","1371","100","109","-67","i","0","0","1371"
"1","right","0","-46","100","-94","-95","1322","100","-78","-100","i","0","0","1322"
"1","right","0","97","100","39","34","1613","100","65","40","i","0","0","1613"
"1","right","0","-90","100","-144","-98","1569","100","-122","-98","i","0","0","1569"
"1","left","0","-150","100","-108","142","1560","100","-118","140","i","0","0","1560"
