	decision	gains	losses
0	1	26	13
1	1	30	5
2	1	26	7
3	1	20	5
4	1	28	12
5	1	24	9
6	1	28	11
7	1	30	8
8	1	20	11
9	1	28	7
10	1	24	5
11	1	28	14
12	1	16	7
13	1	26	8
14	1	20	13
15	1	22	10
16	1	26	9
17	1	22	6
18	1	20	8
19	1	22	8
20	1	26	11
21	1	30	9
22	1	30	11
23	1	30	15
24	1	28	9
25	1	28	5
26	1	12	8
27	1	18	9
28	1	22	12
29	1	24	10
30	1	18	8
31	1	30	6
32	1	18	6
33	1	16	8
34	1	20	7
35	1	24	11
36	1	26	5
37	1	30	12
38	1	26	15
39	1	18	5
40	1	20	10
41	1	30	10
42	1	26	12
43	1	26	10
44	1	30	13
45	1	24	7
46	1	20	12
47	1	28	15
48	1	20	6
49	1	28	10
50	1	28	13
51	1	28	8
52	1	16	5
53	1	24	8
54	1	30	7
55	1	30	14
56	1	24	6
57	1	26	6
58	1	28	6
59	1	22	7
60	1	24	14
61	0	10	14
62	0	12	15
63	0	16	14
64	0	14	10
65	0	22	13
66	0	12	9
67	0	16	15
68	0	18	15
69	0	16	12
70	0	24	12
71	0	18	7
72	0	10	10
73	0	12	11
74	0	18	12
75	0	14	8
76	0	16	11
77	0	14	13
78	0	12	7
79	0	18	11
80	0	14	6
81	0	16	13
82	0	24	15
83	0	22	14
84	0	12	6
85	0	10	12
86	0	26	14
87	0	16	9
88	0	16	10
89	0	18	10
90	0	14	9
91	0	10	13
92	0	24	13
93	0	22	11
94	0	20	14
95	0	14	11
96	0	10	15
97	0	12	12
98	0	14	7
99	0	10	6
100	0	12	13
101	0	14	12
102	0	20	15
103	0	14	15
104	0	12	5
105	0	14	14
106	0	14	5
107	0	10	5
108	0	12	10
109	0	10	8
110	0	22	5
111	0	20	9
112	0	22	9
113	0	12	14
114	0	16	6
115	0	10	11
116	0	18	13
117	0	22	15
118	0	18	14
119	0	10	7
120	0	10	9
