,block,pen_side,pen_val,pen_x,points,poke_x,poke_y,release_time,targ_val,targ_x,targ_y,time_limit,too_slow,too_soon,trial_time,standardPokePosX,standardPokePosY,x_bias,y_bias,subject
0,1,right,0,-108,100,-157,-8,856,100,-140,-9,i,0,0,856,13.9033457249,-1.75092936803,-3.09665427509,2.75092936803,518
1,1,left,0,127,100,177,49,1078,100,159,51,i,0,0,1078,21.0966542751,-4.75092936803,-3.09665427509,2.75092936803,518
2,1,left,0,-148,100,-100,-67,1059,100,-116,-55,i,0,0,1059,19.0966542751,-14.750929368,-3.09665427509,2.75092936803,518
3,1,left,0,-50,100,-12,18,992,100,-18,15,i,0,0,992,9.09665427509,0.24907063197,-3.09665427509,2.75092936803,518
4,1,right,0,156,100,102,123,1140,100,124,122,i,0,0,1141,18.9033457249,-1.75092936803,-3.09665427509,2.75092936803,518
5,1,left,0,32,100,80,-113,1186,100,64,-112,i,0,0,1186,19.0966542751,-3.75092936803,-3.09665427509,2.75092936803,518
6,1,right,0,-112,100,-167,-68,1195,100,-144,-76,i,0,0,1195,19.9033457249,5.24907063197,-3.09665427509,2.75092936803,518
7,1,right,0,106,100,49,79,1055,100,74,75,i,0,0,1055,21.9033457249,1.24907063197,-3.09665427509,2.75092936803,518
8,1,left,0,-66,100,-21,-45,1242,100,-34,-41,i,0,0,1242,16.0966542751,-6.75092936803,-3.09665427509,2.75092936803,518
9,1,left,0,108,100,153,-113,1354,100,140,-117,i,0,0,1354,16.0966542751,1.24907063197,-3.09665427509,2.75092936803,518
10,1,right,0,7,100,-50,-50,1357,100,-25,-43,i,0,0,1357,21.9033457249,-9.75092936803,-3.09665427509,2.75092936803,518
11,1,left,0,-23,100,19,50,1377,100,9,49,i,0,0,1377,13.0966542751,-1.75092936803,-3.09665427509,2.75092936803,518
12,1,right,0,30,100,-26,87,1107,100,-2,85,i,0,0,1107,20.9033457249,-0.75092936803,-3.09665427509,2.75092936803,518
13,1,left,0,-146,100,-102,79,1240,100,-114,73,i,0,0,1240,15.0966542751,3.24907063197,-3.09665427509,2.75092936803,518
14,1,left,0,70,100,113,14,1670,100,102,17,i,0,0,1670,14.0966542751,-5.75092936803,-3.09665427509,2.75092936803,518
15,1,right,0,144,100,83,-154,1225,100,112,-160,i,0,0,1225,25.9033457249,3.24907063197,-3.09665427509,2.75092936803,518
16,1,left,0,-104,100,-58,-136,1549,100,-72,-143,i,0,0,1549,17.0966542751,4.24907063197,-3.09665427509,2.75092936803,518
